"study","outcome.variable","outcome.name","outcome.min","outcome.max","condition.name","n_total","n","mean","sd"
"Kennedy1017","Kennedy1017.Q33","Family_knowledge",1,11,"Not Green; High",634,627,7.5518341307815,1.7325420347443
"Kennedy1017","Kennedy1017.Q33","Family_knowledge",1,11,"Not Green; Low",667,659,7.30804248861912,1.81368798183602
"McCabeS19","McCabeS19.Q11A1","Attribution",1,5,"CONTROL",401,399,2.98496240601504,1.39625285902011
"McCabeS19","McCabeS19.Q11A1","Attribution",1,5,"INSURANCE",430,428,3.0607476635514,1.40792384623107
"McCabeS19","McCabeS19.Q11A1","Attribution",1,5,"INSURANCE+GOVERNMENT CUE",394,390,2.93333333333333,1.4378885786791
"McCabeS19","McCabeS19.Q11A1","Attribution",1,5,"PROVIDER",405,405,3.03703703703704,1.39522208428137
"McCabeS19","McCabeS19.Q11A1","Attribution",1,5,"PROVIDER+GOVERNMENT CUE",386,385,2.91948051948052,1.36788299795849
"McCabeS19","McCabeS19.Q12A2","Contact",1,5,"CONTROL",401,398,2.30150753768844,1.1574086136432
"McCabeS19","McCabeS19.Q12A2","Contact",1,5,"INSURANCE",430,429,2.25874125874126,1.13594593983325
"McCabeS19","McCabeS19.Q12A2","Contact",1,5,"INSURANCE+GOVERNMENT CUE",394,390,2.32307692307692,1.13519565337678
"McCabeS19","McCabeS19.Q12A2","Contact",1,5,"PROVIDER",405,399,2.16290726817043,1.07555177795288
"McCabeS19","McCabeS19.Q12A2","Contact",1,5,"PROVIDER+GOVERNMENT CUE",386,380,2.30263157894737,1.16024445656945
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"40 hours/female/1%",71,70,6.07142857142857,0.99740865073607
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"40 hours/female/20%",55,55,5.69090909090909,1.05185422297831
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"40 hours/female/60%",71,70,5.1,1.00937633205368
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"40 hours/male/1%",72,72,5.86111111111111,1.27052784367953
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"40 hours/male/20%",75,75,5.72,1.07250653623662
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"40 hours/male/60%",60,60,5.26666666666667,1.05552086373757
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"50 hours/female/1%",52,52,6.57692307692308,0.800640769025436
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"50 hours/female/20%",80,80,6.5125,0.841844719437955
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"50 hours/female/60%",59,59,6.25423728813559,0.901975233603395
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"50 hours/male/1%",65,64,6.5,0.959497222838566
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"50 hours/male/20%",52,52,6.30769230769231,1.0762764703941
